Type ,Cell,Value ,Norm_Value,Condition,Replicate
231_21_dox,MDA-MB-231,0.5275,0.345335516,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.6236,0.38408475,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.6392,0.389946315,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.5837,0.368567279,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.5478,0.353921695,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.5928,0.372174787,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.6444,0.391875456,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.5878,0.370197758,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.6485,0.393387928,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.8224,0.451273047,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.6697,0.401090016,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.5762,0.365562746,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.6298,0.386427783,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.6338,0.387929979,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.5846,0.368925912,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.743,0.426276535,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.509,0.337309476,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.6211,0.383134908,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.6087,0.378380058,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.6227,0.383743144,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.5905,0.371266897,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.6611,0.397989284,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.5952,0.373119358,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.5657,0.361308041,2:1 FA:BSA + Dox,N1
231_21_dox,MDA-MB-231,0.6964,0.410516388,2:1 FA:BSA + Dox,N1
231_LG_Dox,MDA-MB-231,0.6814,0.405257523,Low Glucose + Dox,N1
231_LG_Dox,MDA-MB-231,0.9766,0.494080745,Low Glucose + Dox,N1
231_LG_Dox,MDA-MB-231,1.0127,0.503154966,Low Glucose + Dox,N1
231_LG_Dox,MDA-MB-231,0.6666,0.399975999,Low Glucose + Dox,N1
231_LG_Dox,MDA-MB-231,0.9201,0.479193792,Low Glucose + Dox,N1
231_LG_Dox,MDA-MB-231,0.7893,0.441122227,Low Glucose + Dox,N1
231_LG_Dox,MDA-MB-231,0.7323,0.422732783,Low Glucose + Dox,N1
231_LG_Dox,MDA-MB-231,0.7817,0.438738284,Low Glucose + Dox,N1
231_LG_Dox,MDA-MB-231,1.062,0.515033948,Low Glucose + Dox,N1
231_LG_Dox,MDA-MB-231,0.9315,0.482267668,Low Glucose + Dox,N1
231_LG_Dox,MDA-MB-231,0.6923,0.409088223,Low Glucose + Dox,N1
231_LG_Dox,MDA-MB-231,0.662,0.398315283,Low Glucose + Dox,N1
231_LG_Dox,MDA-MB-231,0.6005,0.375195251,Low Glucose + Dox,N1
231_LG_Dox,MDA-MB-231,0.5916,0.371701433,Low Glucose + Dox,N1
231_LG_Dox,MDA-MB-231,0.8181,0.449975249,Low Glucose + Dox,N1
231_LG_Dox,MDA-MB-231,0.7691,0.434740829,Low Glucose + Dox,N1
231_LG_Dox,MDA-MB-231,0.7139,0.416535387,Low Glucose + Dox,N1
231_LG_Dox,MDA-MB-231,0.6465,0.392651078,Low Glucose + Dox,N1
