Type ,Value
Low Glucose ,4.829992388
Low Glucose ,4.095661
Low Glucose ,3.780766303
Low Glucose ,2.977670642
Low Glucose ,4.357523471
Low Glucose ,3.791199216
Low Glucose ,5.106633264
Low Glucose ,5.811022764
Low Glucose ,4.673238209
Low Glucose ,3.76462259
Low Glucose ,5.477507897
Low Glucose ,3.250340993
Low Glucose ,3.301017732
Low Glucose ,3.620921204
Low Glucose ,3.468786067
Low Glucose ,3.325779037
Low Glucose ,4.67949649
Low Glucose ,4.309852336
Low Glucose ,5.350278383
Low Glucose ,6.320987654
Low Glucose ,3.030016945
Low Glucose ,5.973813596
Low Glucose ,3.733112441
Low Glucose ,3.586041043
Low Glucose ,3.359982899
Low Glucose ,3.775182991
Low Glucose ,3.301219937
Low Glucose ,3.995259672
Low Glucose ,2.999163472
2:1 FA:BSA,7.752470099
2:1 FA:BSA,5.009230369
2:1 FA:BSA,7.99700988
2:1 FA:BSA,3.775011967
2:1 FA:BSA,4.2617281
2:1 FA:BSA,4.32898516
2:1 FA:BSA,4.948300622
2:1 FA:BSA,6.725825754
2:1 FA:BSA,3.961823839
2:1 FA:BSA,5.040267796
2:1 FA:BSA,5.439893669
2:1 FA:BSA,3.970266811
2:1 FA:BSA,4.900364281
2:1 FA:BSA,6.039480161
2:1 FA:BSA,5.993904811
2:1 FA:BSA,6.388406173
2:1 FA:BSA,4.341849306
2:1 FA:BSA,4.462456231
2:1 FA:BSA,5.85553106
2:1 FA:BSA,4.179352474
2:1 FA:BSA,5.128894319
2:1 FA:BSA,5.072693952
2:1 FA:BSA,5.42101405
2:1 FA:BSA,4.704092853
2:1 FA:BSA,6.201954795
2:1 FA:BSA,3.938909774
2:1 FA:BSA,4.248308271
2:1 FA:BSA,4.958364662
2:1 FA:BSA,4.563721805
2:1 FA:BSA,3.665822447
2:1 FA:BSA,3.04758731
2:1 FA:BSA,3.627832578
2:1 FA:BSA,3.976206345
2:1 FA:BSA,3.332777926
2:1 FA:BSA,3.853439083
5:1 FA:BSA,4.555709206
5:1 FA:BSA,4.690142236
5:1 FA:BSA,5.517680759
5:1 FA:BSA,3.487751877
5:1 FA:BSA,4.193796918
5:1 FA:BSA,4.867746914
5:1 FA:BSA,4.804938272
5:1 FA:BSA,6.327006173
5:1 FA:BSA,4.620216049
5:1 FA:BSA,4.338117284
5:1 FA:BSA,6.635493827
5:1 FA:BSA,4.304938272
5:1 FA:BSA,3.53871352
5:1 FA:BSA,4.642247369
5:1 FA:BSA,3.778439547
5:1 FA:BSA,4.941732506
5:1 FA:BSA,5.021021445
5:1 FA:BSA,5.809960497
5:1 FA:BSA,6.502539503
5:1 FA:BSA,4.084509029
5:1 FA:BSA,4.947930398
5:1 FA:BSA,5.158845241
5:1 FA:BSA,6.584497759
5:1 FA:BSA,5.181650409
5:1 FA:BSA,5.079752175
